ID,Definition
0,None
426,Collapsing
427,Standing Up
428,Back Rows Unbound
429,Whipping Scrum
430,No 9 Offside
431,Not Straight
432,Delaying Put In
449,Boring In
450,Early Engagement
458,Illegal Binding
459,Other Scrum Offence
433,Barging
434,Obstruction
435,Offside
436,Taking Man in Air
453,Delaying the Throw
454,Closing the Gap
455,Early Lift
456,Wrong Numbers
442,Offside at Ruck - Att
443,Offside at Ruck - Def
444,Offside in General Play
500,0 Tacklers Committed
501,1 Tacklers Committed
502,2 Tacklers Committed
503,3 Tacklers Committed
504,4+ Tacklers Committed
505,Stayed on Ground
506,Idle
507,Reload
